Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;BAU016__Gebaeude/Baumassnahmen__Anzahl;BAU015__Gebaeude__Anzahl;FLC003__Rauminhalt__1000_cbm;BAU003__Baumassnahmen__Anzahl;FLC002__Nutzflaeche__1000_qm;WOHN01__Wohnungen__Anzahl;FLC014__Wohnflaeche_der_Wohnungen__1000_qm;WOE009__Sonstige_Wohneinheiten__Anzahl;FLC015__Wohnflaeche_der_sonstigen_Wohneinheiten__1000_qm;WOHN08__Wohnraeume__Anzahl;VKB001__Veranschlagte_Kosten_des_Bauwerks__Tsd._EUR
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNUNWOHNGEB;Wohn- und Nichtwohngeb‰ude;289794;-;-;-;47286;290978;33846;3980;148;1501724;74438183
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBAEUDE;Wohngeb‰ude;234868;-;-;-;6837;285320;33312;3652;137;1480299;41767933
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;GEBW01;Wohngeb‰ude mit 1 Wohnung;x;x;x;x;x;x;x;x;x;x;x
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;GEBW02;Wohngeb‰ude mit 2 Wohnungen;x;x;x;x;x;x;x;x;x;x;x
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;GEWB01O02;Wohngeb‰ude mit 1 oder 2 Wohnungen;x;x;x;x;x;x;x;x;x;x;x
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;GEBW03UM;Wohngeb‰ude mit 3 oder mehr Wohnungen;x;x;x;x;x;x;x;x;x;x;x
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNHEIM;Wohnheime;281;-;-;-;34;1189;46;3790;138;6952;361326
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBMETW;Wohngeb‰ude mit Eigentumswohnungen;12134;-;-;-;846;55116;4781;-36;0;214612;5991998
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBOEFBH1;÷ffentliche Bauherren von Wohngeb‰uden;998;-;-;-;20;1974;179;293;9;8183;315741
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBUNTABH1;Unternehmen als Bauherren von Wohngeb‰uden;50231;-;-;-;1926;102528;10072;1441;50;458861;12434729
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBUNTABH2;Wohnungsunternehmen als Bauherren von Wohngeb‰uden;41386;-;-;-;1660;87552;8522;688;25;389594;10391192
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBIMMOFON1;Immobilienfonds als Bauherren von Wohngeb‰uden;1010;-;-;-;36;2063;223;111;4;10059;313548
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBSONUNTBH;Sonst. Unternehmen als Bauherren von Wohngeb‰uden;7835;-;-;-;230;12913;1327;642;22;59208;1729989
31111;Statistik der Baugenehmigungen;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;BAUBR1;Hochbau;BAUART1;Hochbau;BAUTK1;Baut‰tigkeiten;ARTBT4;Errichtg.neuer Geb‰ude u.Baumaﬂnahmen an best.Geb.;BAUGB1;Geb‰udeart/Bauherr;WOHNGEBLFF;Untern.d.Land-,Forstw.,Fischerei a.Bauh.v.Wohngeb.;-;-;-;-;-;-;-;-;-;-;-
