Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;KAU002__Kauffaelle__Anzahl;FLC023__Veraeusserte_Flaeche__1000_qm;KAU003__Kaufsumme__Tsd._EUR;KAU004__Durchschnittlicher_Kaufwert__EUR/qm
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND07;Wohnbauland;12204;12575;890409;70,81
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND01;Baureifes Land;11882;11300;863521;76,42
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND02;Rohbauland;322;1276;26888;21,08
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND08;Wirtschaftlich genutztes Bauland;361;2926;89463;30,58
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND06;Sonstiges Bauland;1004;2443;82017;33,57
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK000B002;unter 2000 Einwohner;GRSAT1;Art des Grundstücks;;Insgesamt;13569;17944;1061889;59,18
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK002B005;2000 bis unter 5000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND07;Wohnbauland;14148;14455;1713211;118,52
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK002B005;2000 bis unter 5000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND01;Baureifes Land;13729;12535;1647328;131,42
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK002B005;2000 bis unter 5000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND02;Rohbauland;419;1920;65883;34,32
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;GEMGK4;Gemeindegrößenklassen;GEMGK002B005;2000 bis unter 5000 Einwohner;GRSAT1;Art des Grundstücks;BAULAND08;Wirtschaftlich genutztes Bauland;863;4743;209213;44,11
