Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;KAU002__Kauffaelle__Anzahl;FLC023__Veraeusserte_Flaeche__1000_qm;KAU004__Durchschnittlicher_Kaufwert__EUR/qm
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;179;351;663,78
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;4;8;126,53
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;27;28;50,12
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;PERART01;Natürliche Person;3759;2232;164,51
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;156;369;170,01
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;;Insgesamt;4125;2989;222,72
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;10;24;194,91
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;24;19;42,46
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;PERART01;Natürliche Person;763;685;85,11
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;97;227;299,49
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;;Insgesamt;895;954;137,89
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;265;444;369,60
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;15;38;22,64
